,title,venue,pages,year,type,access,doi
21142,Reciprocal Recommender System for Learners in Massive Open Online Courses (MOOCs).,CoRR,,2017,Informal and Other Publications,open,
21143,An Empirical Study of Data Smoothing Methods for Memory-Based and Hybrid Collaborative Filtering.,PRICAI,81-90,2006,Conference and Workshop Papers,closed,10.1007/11801603_11
21144,Personalized LSTM-based alarm systems for hypoglycemia prevention.,MED,1016-1021,2023,Conference and Workshop Papers,closed,10.1109/MED59994.2023.10185789
21145,Personalized Transfer Learning for Single-Lead ECG-Based Sleep Apnea Detection: Exploring the Label Mapping Length and Transfer Strategy Using Hybrid Transformer Model.,IEEE Trans. Instrum. Meas.,1-15,2023,Journal Articles,closed,10.1109/TIM.2023.3312698
21146,Supervised Advantage Actor-Critic for Recommender Systems.,CoRR,,2021,Informal and Other Publications,open,
21147,Document Filtering for Domain Ontology Based on Concept Preferences.,ASWC,377-386,2006,Conference and Workshop Papers,closed,10.1007/11836025_38
21148,Data Gathering System for Recommender System in Tourism.,NBiS,521-525,2015,Conference and Workshop Papers,closed,10.1109/NBIS.2015.78
21149,FG-RS: Capture user fine-grained preferences through attribute information for Recommender Systems.,Neurocomputing,195-203,2021,Journal Articles,closed,10.1016/J.NEUCOM.2021.05.068
21150,Behavior2Vec: Generating Distributed Representations of Users' Behaviors on Products for Recommender Systems.,ACM Trans. Knowl. Discov. Data,43:1-43:20,2018,Journal Articles,closed,10.1145/3184454
21151,Knowledge creation through recommender systems.,Digit. Scholarsh. Humanit.,ii151-ii157,2017,Journal Articles,closed,10.1093/LLC/FQX035
21152,Learning an Adaptive Meta Model-Generator for Incrementally Updating Recommender Systems.,CoRR,,2021,Informal and Other Publications,open,
21153,Finding Your Literature Match -- A Recommender System,CoRR,,2010,Informal and Other Publications,open,
21154,pyRecLab: A Software Library for Quick Prototyping of Recommender Systems.,CoRR,,2017,Informal and Other Publications,open,
21155,Distributed collaborative filtering for peer-to-peer file sharing systems.,SAC,1026-1030,2006,Conference and Workshop Papers,closed,10.1145/1141277.1141522
21156,Precise Warfarin Management through Personalized Modeling and Control with Limited Clinical Data.,EMBC,5035-5038,2021,Conference and Workshop Papers,closed,10.1109/EMBC46164.2021.9629945
21157,Boosting Personalized Musculoskeletal Modeling With Physics-Informed Knowledge Transfer.,IEEE Trans. Instrum. Meas.,1-11,2023,Journal Articles,closed,10.1109/TIM.2022.3227604
21158,Understanding and Mitigating Multi-Sided Exposure Bias in Recommender Systems.,CoRR,,2021,Informal and Other Publications,open,
21159,HealthRecSys: A semantic content-based recommender system to complement health videos.,BMC Medical Informatics Decis. Mak.,63:1-63:10,2017,Journal Articles,open,10.1186/S12911-017-0431-7
21160,Exploring Hierarchical Structures for Recommender Systems.,IEEE Trans. Knowl. Data Eng.,1022-1035,2018,Journal Articles,closed,10.1109/TKDE.2018.2789443
21161,Improving collaborative filtering with trust-based metrics.,SAC,1860-1864,2006,Conference and Workshop Papers,closed,10.1145/1141277.1141717
21162,Deconvolving Feedback Loops in Recommender Systems.,CoRR,,2017,Informal and Other Publications,open,
21163,A Survey Paper on Recommender Systems,CoRR,,2010,Informal and Other Publications,open,
21164,"Persia: An Open, Hybrid System Scaling Deep Learning-based Recommenders up to 100 Trillion Parameters.",CoRR,,2021,Informal and Other Publications,open,
21165,A Multi-Latent Transition model for evolving preferences in recommender systems.,Expert Syst. Appl.,97-106,2018,Journal Articles,closed,10.1016/J.ESWA.2018.03.033
21166,Recommendation Model of Personalized Teaching Materials in E-Learning Environments.,FIE,1-7,2021,Conference and Workshop Papers,closed,10.1109/FIE49875.2021.9637286
21167,"Scouts, promoters, and connectors: the roles of ratings in nearest neighbor collaborative filtering.",EC,250-259,2006,Conference and Workshop Papers,closed,10.1145/1134707.1134735
21168,Computationally Efficient Personalized EMG-Driven Musculoskeletal Model of Wrist Joint.,IEEE Trans. Instrum. Meas.,1-10,2023,Journal Articles,closed,10.1109/TIM.2022.3225023
21169,User-Centric Evaluation of Recommender Systems in Social Learning Platforms: Accuracy is Just the Tip of the Iceberg.,IEEE Trans. Learn. Technol.,294-306,2018,Journal Articles,closed,10.1109/TLT.2017.2732349
21170,Effect of Conceptual Cue Based (CCB) Practical Exam Evaluation of Learning and Evaluation Approaches: A Case for Use in Process-Based Pedagogy.,T4E,90-94,2014,Conference and Workshop Papers,closed,10.1109/T4E.2014.46
21171,Utilizing Textual Reviews in Latent Factor Models for Recommender Systems.,CoRR,,2021,Informal and Other Publications,open,
21172,Recommender Systems by means of Information Retrieval,CoRR,,2010,Informal and Other Publications,open,
21173,A privacy-preserving collaborative filtering scheme with two-way communication.,EC,316-323,2006,Conference and Workshop Papers,closed,10.1145/1134707.1134742
21174,The 50/50 Recommender: A Method Incorporating Personality into Movie Recommender Systems.,EANN,498-507,2017,Conference and Workshop Papers,closed,10.1007/978-3-319-65172-9_42
21175,Model learning with personalized interpretability estimation (ML-PIE).,GECCO Companion,1355-1364,2021,Conference and Workshop Papers,closed,10.1145/3449726.3463166
21176,Compressive Features in Offline Reinforcement Learning for Recommender Systems.,CoRR,,2021,Informal and Other Publications,open,
21177,A Cold Start Context-Aware Recommender System for Tour Planning Using Artificial Neural Network and Case Based Reasoning.,Mob. Inf. Syst.,9364903:1-9364903:18,2017,Journal Articles,open,10.1155/2017/9364903
21178,MSGD: A Novel Matrix Factorization Approach for Large-Scale Collaborative Filtering Recommender Systems on GPUs.,IEEE Trans. Parallel Distributed Syst.,1530-1544,2018,Journal Articles,closed,10.1109/TPDS.2017.2718515
21179,Towards Knowledge-Based Recommender Dialog System.,EMNLP/IJCNLP,1803-1813,2019,Conference and Workshop Papers,open,10.18653/V1/D19-1189
21180,Large Language Model Can Interpret Latent Space of Sequential Recommender.,CoRR,,2023,Informal and Other Publications,open,10.48550/ARXIV.2310.20487
21181,Personality and Recommender Systems.,Recommender Systems Handbook,715-739,2015,Reference Works,closed,10.1007/978-1-4899-7637-6_21
21182,A Novel Drug-Target Interaction Predication Model Via Singular Value Decomposition and Collaborative Filtering.,BIBM,1417-1422,2022,Conference and Workshop Papers,closed,10.1109/BIBM55620.2022.9995197
21183,Towards psychology-aware preference construction in recommender systems: Overview and research issues.,J. Intell. Inf. Syst.,467-489,2021,Journal Articles,open,10.1007/S10844-021-00674-5
21184,Unifying user-based and item-based collaborative filtering approaches by similarity fusion.,SIGIR,501-508,2006,Conference and Workshop Papers,closed,10.1145/1148170.1148257
21185,Impact of data characteristics on recommender systems performance.,ACM Trans. Manag. Inf. Syst.,3:1-3:17,2012,Journal Articles,closed,10.1145/2151163.2151166
21186,Accelerating recommender system training 15x with RAPIDS.,RecSys Challenge,8:1-8:5,2019,Conference and Workshop Papers,closed,10.1145/3359555.3359564
21187,Personalized Check-in Prediction Model Based on User's Dissimilarity and Regression.,IEEE Access,79418-79432,2019,Journal Articles,open,10.1109/ACCESS.2019.2923435
21188,Model of Adaptive Management of Personalized Notifications in Corporate Information Providing System.,IEEE Conf. on Intelligent Systems,386-391,2020,Conference and Workshop Papers,closed,10.1109/IS48319.2020.9200171
21189,A relay selection approach to bidirectional collaborative communications with imperfect CSI.,ACSCC,1227-1231,2011,Conference and Workshop Papers,closed,10.1109/ACSSC.2011.6190211
21190,Beyond NDCG: behavioral testing of recommender systems with RecList.,CoRR,,2021,Informal and Other Publications,open,
21191,A personalized e-course composition based on a genetic algorithm with forcing legality in an adaptive learning system.,J. Netw. Comput. Appl.,533-542,2013,Journal Articles,closed,10.1016/J.JNCA.2012.04.002
21192,PAMS - A Personalized Automatic Messaging System for User Engagement with a Digital Diabetes Prevention Program.,ICHI,297-308,2022,Conference and Workshop Papers,closed,10.1109/ICHI54592.2022.00051
21193,A New Similarity Model Based on Collaborative Filtering for New User Cold Start Recommendation.,IEICE Trans. Inf. Syst.,1388-1394,2020,Journal Articles,closed,10.1587/TRANSINF.2019EDP7258
21194,A Sequential Learning Algorithm for Collaborative Filtering With Linear Fuzzy Clustering.,SMC,1056-1061,2006,Conference and Workshop Papers,closed,10.1109/ICSMC.2006.384539
21195,Robust matrix factorization for collaborative filtering in recommender systems.,ACSSC,415-419,2017,Conference and Workshop Papers,closed,10.1109/ACSSC.2017.8335371
21196,Analysis of Users Behaviour from a Movie Preferences Perspective.,GOODTECHS,226-236,2017,Conference and Workshop Papers,closed,10.1007/978-3-319-76111-4_23
21197,Manipulating Federated Recommender Systems: Poisoning with Synthetic Users and Its Countermeasures.,SIGIR,1690-1699,2023,Conference and Workshop Papers,closed,10.1145/3539618.3591722
21198,TSCMF: Temporal and social collective matrix factorization model for recommender systems.,J. Intell. Inf. Syst.,169-187,2021,Journal Articles,open,10.1007/S10844-020-00613-W
21199,"Blockchain-based Recommender Systems: Applications, Challenges and Future Opportunities.",CoRR,,2021,Informal and Other Publications,open,
21200,Data Augmentation Using Many-To-Many RNNs for Session-Aware Recommender Systems.,CoRR,,2021,Informal and Other Publications,open,
21201,Semi-Automatic Concept Map Generation Approach of Web-Based Kit-Build Concept Map Authoring Tool.,Int. J. Interact. Mob. Technol.,50-70,2021,Journal Articles,closed,10.3991/IJIM.V15I08.20489
21202,Personalized Package Recommendation System for Health Examination.,ICITEE,90-96,2022,Conference and Workshop Papers,closed,10.1145/3582935.3582952
21203,JacUOD: A New Similarity Measurement for Collaborative Filtering.,J. Comput. Sci. Technol.,1252-1260,2012,Journal Articles,closed,10.1007/S11390-012-1301-5
21204,Unbiased Pairwise Learning to Rank in Recommender Systems.,CoRR,,2021,Informal and Other Publications,open,
21205,Using Web-Based Personalized Learning System in Academic Context.,CIT,328-332,2004,Conference and Workshop Papers,closed,10.1109/CIT.2004.1357216
21206,Exploring User Feedbacks: The Basis of a Recommender System of Informative Videos for the Elderly.,jAUTI,75-89,2017,Conference and Workshop Papers,closed,10.1007/978-3-319-90170-1_6
21207,On feature selection in maximum entropy approach to statistical concept-based speech-to-speech translation.,IWSLT,115-121,2004,Conference and Workshop Papers,unavailable,
21208,Recommender systems in the healthcare domain: state-of-the-art and research issues.,J. Intell. Inf. Syst.,171-201,2021,Journal Articles,open,10.1007/S10844-020-00633-6
21209,Improvement of Collaborative Filtering Based on Fuzzy Reasoning Model.,SMC,4790-4795,2006,Conference and Workshop Papers,closed,10.1109/ICSMC.2006.385063
21210,Recommender System for Sport Videos Based on User Audiovisual Consumption.,IEEE Trans. Multim.,1546-1557,2012,Journal Articles,closed,10.1109/TMM.2012.2217121
21211,Constraint-Based Recommender Systems.,Recommender Systems Handbook,161-190,2015,Reference Works,closed,10.1007/978-1-4899-7637-6_5
21212,PD-SRS: Personalized Diversity for a Fair Session-Based Recommendation System.,ICSOC,331-339,2022,Conference and Workshop Papers,closed,10.1007/978-3-031-20984-0_23
21213,Specifying preferences based on user history.,CHI,315-322,2002,Conference and Workshop Papers,closed,10.1145/503376.503433
21214,Bayesian evaluation of privacy-preserving risk communication for user android app preferences.,Inf. Comput. Secur.,680-693,2021,Journal Articles,closed,10.1108/ICS-11-2020-0182
21215,Integrated Approach to Personalized Procedural Map Generation Using Evolutionary Algorithms.,IEEE Trans. Comput. Intell. AI Games,139-155,2015,Journal Articles,closed,10.1109/TCIAIG.2014.2341665
21216,A model of concept hierarchy-based diverse patterns with applications to recommender system.,Int. J. Data Sci. Anal.,177-191,2020,Journal Articles,closed,10.1007/S41060-019-00203-2
21217,Recommender systems as an agility enabler in supply chain management.,J. Intell. Manuf.,1229-1248,2021,Journal Articles,closed,10.1007/S10845-020-01619-5
21218,Collaborative Ensemble Learning: Combining Collaborative and Content-Based Information Filtering via Hierarchical Bayes,CoRR,,2012,Informal and Other Publications,open,
21219,Intelligent edge-based recommender system for internet of energy applications.,CoRR,,2021,Informal and Other Publications,open,
21220,PipAttack: Poisoning Federated Recommender Systems for Manipulating Item Promotion.,WSDM,1415-1423,2022,Conference and Workshop Papers,closed,10.1145/3488560.3498386
21221,"TopicSearch - Personalized Web Clustering Engine Using Semantic Query Expansion, Memetic Algorithms and Intelligent Agents.",Polibits,31-45,2013,Journal Articles,open,10.17562/PB-47-4
21222,A Medical Information System for Personalized Rehabilitation after Ankle Inversion Trauma.,ICSOFT,319-330,2022,Conference and Workshop Papers,closed,10.5220/0011295800003266
21223,Collaborative Filtering on Bipartite Graphs using Graph Convolutional Networks.,BigComp,304-307,2022,Conference and Workshop Papers,closed,10.1109/BIGCOMP54360.2022.00065
21224,FRAC+: A Distributed Collaborative Filtering Model for Client/Server Architectures.,WEBIST,435-440,2006,Conference and Workshop Papers,unavailable,
